Model,Features,MAE,R2
Ridge,Physicochemical,0.8297114289870828,-4.058465708376602
Ridge,ESM,0.3802592372683365,-0.2294624850537219
Ridge,Hybrid,0.3950706854408661,-0.3190028362675632
RandomForest,Physicochemical,0.5646240283987017,-1.609850879535962
RandomForest,ESM,0.32976859115448376,0.018433437142681197
RandomForest,Hybrid,0.3385504814877948,-0.009296255567886602
GradientBoosting,Physicochemical,0.8110460704244123,-3.8564494147762947
GradientBoosting,ESM,0.43490981473503937,-0.5332185465678818
GradientBoosting,Hybrid,0.4526255817465063,-0.6361685124483338
